"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"6703","RB","Adrian","Peterson","10.3","1","9200","MIN@SF","MIN","SF","","","",""
"14190","WR","Julio","Jones","16.4","15","9000","PHI@ATL","ATL","PHI","","","",""
"6616","QB","Matt","Ryan","18.5","16","8800","PHI@ATL","ATL","PHI","","","",""
"14254","RB","DeMarco","Murray","20.2","16","8500","PHI@ATL","PHI","ATL","","","",""
"14231","QB","Colin","Kaepernick","16.3","16","7900","MIN@SF","SF","MIN","","","",""
"6618","WR","Roddy","White","12.3","14","7600","PHI@ATL","ATL","PHI","P","Elbow","",""
"11414","QB","Sam","Bradford","0","0","7500","PHI@ATL","PHI","ATL","","","",""
"28473","RB","Carlos","Hyde","4.9","14","7300","MIN@SF","SF","MIN","","","",""
"33259","QB","Teddy","Bridgewater","14.4","13","7200","MIN@SF","MIN","SF","","","",""
"30837","WR","Jordan","Matthews","10.5","16","6800","PHI@ATL","PHI","ATL","","","",""
"27776","RB","Tevin","Coleman","0","0","6700","PHI@ATL","ATL","PHI","","","",""
"6687","QB","Mark","Sanchez","16.7","9","6600","PHI@ATL","PHI","ATL","","","",""
"6479","WR","Anquan","Boldin","11.1","16","6600","MIN@SF","SF","MIN","","","",""
"24920","RB","Devonta","Freeman","4.5","16","6500","PHI@ATL","ATL","PHI","P","Hamstring","",""
"6607","WR","Mike","Wallace","11.2","16","6400","MIN@SF","MIN","SF","","","",""
"14288","WR","Torrey","Smith","10.5","16","6100","MIN@SF","SF","MIN","","","",""
"11425","RB","Ryan","Mathews","10.4","6","5900","PHI@ATL","PHI","ATL","","","",""
"7972","RB","Darren","Sproles","9.2","15","5800","PHI@ATL","PHI","ATL","","","",""
"54608","RB","Jerick","McKinnon","7.3","11","5700","MIN@SF","MIN","SF","","","",""
"39449","WR","Charles","Johnson","6.3","12","5600","MIN@SF","MIN","SF","","","",""
"14194","QB","Blaine","Gabbert","6","1","5600","MIN@SF","SF","MIN","","","",""
"29683","WR","Nelson","Agholor","0","0","5500","PHI@ATL","PHI","ATL","","","",""
"6643","RB","Reggie","Bush","7.9","11","5500","MIN@SF","SF","MIN","","","",""
"29780","TE","Zach","Ertz","7.2","16","5400","PHI@ATL","PHI","ATL","Q","Groin","",""
